Qtde Declarantes,Instrução,Médicas,Bens e Direitos,ano,Municipio,UF,chave,Total Rend,Total Rend por declarante,Instrução por declarante,Médicas por declarante,Bens e Direitos por declarante
129,28798.3,66420.17,13615728.59,2015,ALAGOA,MG,2015ALAGOAMG,7521204.599999999,58303.91162790697,223.2426356589147,514.8850387596899,105548.28364341085
1002,506297.2,1182844.01,31329686.62,2015,ALAGOA GRANDE,PB,2015ALAGOA GRANDEPB,44722894.18,44633.62692614771,505.286626746507,1180.4830439121756,31267.152315369265
483,173394.76,574225.3400000001,15309314.4,2015,ALAGOA NOVA,PB,2015ALAGOA NOVAPB,21368673.299999997,44241.55962732919,358.9953623188406,1188.8723395445136,31696.30310559006
392,176742.7,197323.29,8206221.22,2015,ALAGOINHA,PB,2015ALAGOINHAPB,17198376.13,43873.40849489796,450.87423469387755,503.37573979591843,20934.237806122448
492,229124.53999999998,787200.76,10746041.95,2015,ALAGOINHA,PE,2015ALAGOINHAPE,23121934.05,46995.80091463414,465.7002845528455,1600.0015447154472,21841.548678861785
208,91342.86,124084.15000000001,7104231.569999999,2015,ALAGOINHA DO PIAUI,PI,2015ALAGOINHA DO PIAUIPI,7903209.63,37996.20014423077,439.1483653846154,596.5584134615385,34154.959471153845
15569,24483215.51,42555485.07,938528201.2100002,2015,ALAGOINHAS,BA,2015ALAGOINHASBA,1040864870.5600001,66854.95989209326,1572.5618543259043,2733.3473614233417,60281.855045924596
490,118312.27,541761.78,59540103.61,2015,ALAMBARI,SP,2015ALAMBARISP,28806552.139999997,58788.88191836734,241.45361224489795,1105.6362857142856,121510.41553061224
257,81618.5,119192.46,33526158.119999997,2015,ALBERTINA,MG,2015ALBERTINAMG,14548062.96,56607.24887159534,317.5817120622568,463.78389105058363,130451.97712062257
130,20581.5,24702.96,5627568.419999999,2015,ALCANTIL,PB,2015ALCANTILPB,5538383.3100000005,42602.94853846154,158.31923076923076,190.02276923076923,43288.98784615384
585,75055.73999999999,327591.48,68265185.47,2015,ALCINOPOLIS,MS,2015ALCINOPOLISMS,28526039.39,48762.4604957265,128.30041025641026,559.9854358974359,116692.62473504274
